,pobreza,P01F03,P15B02,P15B04,P15B06A,P13A02A,P06B01,P06B10A,P06B10B,P09A03B,P09A03C,P09B02B,P09B02C,P09F03B,P09F03C,P09F04B,P09F04C,P09F05B,P09F05C,P09F06B,P09F06C,P09F07B,P09F07C,P09F08B,P09F08C,P09F09B,P09F09C,P10B01,P10B08,P10B20B,P11A05B,P11A06B
2527,No pobre,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.2,480.0,0.0,0.0,0.0
2528,Pobre no extr.,0.0,0.0,0.0,0.0,2.0,7,0.0,1.6666666666666667,0.0,0.0,0.0,3.3333333333333335,0.0,4.444444444444445,2.4444444444444446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,3.3333333333333335,1.6666666666666667,0.0,0.4444444444444444,389.3333333333333,0.0,0.0,0.0
2529,No pobre,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,10.0,0.6666666666666666,833.3333333333334,0.0,0.0,0.0
2530,No pobre,0.0,0.0,0.0,0.0,2.0,2,0.0,2.5,0.0,0.0,0.0,0.0,0.25,7.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,600.0,0.0,0.0,0.0
2531,No pobre,200.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1333.3333333333333,0.0,0.0,0.0
2532,No pobre,0.0,0.0,0.0,0.0,0.0,4,0.0,15.0,0.0,0.0,0.0,0.0,0.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.25,625.0,0.0,0.0,0.0
2533,No pobre,0.0,0.0,0.0,0.0,0.0,3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.5,6.25,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,3.75,0.75,3250.0,0.0,0.0,0.0
2534,No pobre,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,600.0,0.0,0.0,2000.0
2535,No pobre,0.0,0.0,2400.0,1.0,0.0,4,0.0,10.0,0.0,0.0,0.0,12.0,0.0,6.0,0.4,6.0,4.6,0.0,0.2,0.0,0.0,0.0,0.0,8.0,1.2,6.0,0.2,700.0,0.0,0.0,0.0
2536,No pobre,0.0,0.0,0.0,0.0,0.0,6,0.0,16.666666666666668,0.0,0.0,0.0,6.666666666666667,0.0,13.333333333333334,1.1666666666666667,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,421.6666666666667,0.0,45.0,0.0
